id,spec,category,commandType,help
movespec:east,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:ne,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:north,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:nw,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:se,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:south,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:sw,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:west,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location
movespec:forward,A,Order,UnitArgDistanceCommand,Orders a unit to a specific location

movespec:maploc,A,Order,UnitArgMapObjectiveCommand,Orders a unit to a specific location

movespec:loc,A,Order,UnitMoveToCommand,Orders a unit to a specific location
movespec:addpath,A,Order,UnitMoveToCommand,Orders a unit to a specific location


formtype,A,Formation,UnitFormTypeCommand,Orders a unit to assume the given formation type, as assigned in unitglobal.csv

tactics,,Order,UnitPositionArgsCommand,SPECIAL

guard,,Cav,UnitArgUnitCommand,Cavalry command only. It directs the named unit to guard a named unit.

enddir,A,Move,UnitDirectionCommand,The direction you want a unit or formation to face upon arrival at a location
movedir,A,Move,UnitCommand,Commands the named Commander/Unit to move in a specified direction (dir x, dir z).

altform,A,Game,UnitFormationCommand,This command is for assigning an alternate starting formation within the scripting, for a unit or command other than the OOB designated formation.


orders:Blitz,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.
orders:Attack,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.
orders:Probe,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.
orders:Defend,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.
orders:Hold,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.
orders:Stay,A,Order,UnitOrderCommand,Commands that a stance order be issued to the named Commander.

courier,,Order,CourierCommand,Commands the named Commander to send a message to the player’s Commander

delevt,,Game,UnitEventCommand,Used to delete events that are not needed, for example after the death of a non-player commander

ranevt,,Game,RandomEventCommand,Declare a random event.

weather,,Env,WeatherCommand,changes the weather state as defined in rows 1 thru 25 of the unitattributes.csv file.

logmsg,,Game,LogMsgCommand,adds a message to the player viewable list of received messages?

objactivate,,Game,ScenarioObjectiveCommand,Commands that an objective listed on the maplocations.csv be activated.

immortal,,Game,UnitCommand,Makes the unit unable to die

dumpdead,,IO,Command,Saves the file /work/deadbods.csv that records the location of all dead bodies currently on the battlefield.
dumpgamedb,,IO,Command,Saves the file /work/sowgb_gamedb_date_time.csv. Note that a separate file will be written every time this command is executed via command or keypress
dumplocs,,IO,Command,Saves the file /work/startlocs.csv, containing the current location, facing and formation of all units on the battlefield

endscenario,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endplayerdie,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endmajwin,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endwin,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario;endtie,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endfail,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endmajfail,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endrouted,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.
endscenario:endroutedenemy,,GameEnd,Command,End the Scenario. It must be called via the events.csv to create the .mmc saved game file required for using the carryover command.


night,,Env,Command,Change the sky to night. Use at the beginning of a scenario. Also use the appropriate “Weather=#”command to set the correct visibility (see below).
sunrise,,Env,Command,Starts the sunrise sequence of sky effects
sunset,,Env,Command,Starts the sunset sequence of sky effects.

stopsfx,,Sound,Command,Stop playing all sound effects
